Year,NB.std,NB.res,KGU.std,KGU.res
1692,1.32959,1.26841,1.72333,1.24301
1693,1.3594,1.19481,1.47798,0.91626
1694,1.17924,1.03765,1.44163,1.05755
1695,1.31339,1.20613,1.44834,1.40174
1696,0.7412,0.60987,0.93306,0.64088
1697,0.93733,0.90039,1.2037,0.91118
1698,0.40361,0.39567,0.65285,0.52881
1699,0.95047,1.03753,1.07688,1.151
1700,0.55221,0.64391,0.67075,0.91894
1701,1.34727,1.45984,1.39472,1.40684
1702,1.03727,1.05878,1.29676,0.97978
1703,0.53504,0.57654,0.97867,0.68011
1704,0.82794,0.94189,1.21721,1.06903
1705,1.23476,1.25902,1.40812,1.26303
1706,1.23946,1.23209,1.46888,1.27612
1707,0.81741,0.77487,1.11159,0.74958
1708,1.07234,1.08734,1.11293,1.06376
1709,1.12068,1.09439,1.3298,1.17833
1710,0.98938,0.94412,1.47814,1.31428
1711,0.95689,0.93319,1.11265,0.85623
1712,1.04495,1.0319,1.11804,1.08114
1713,1.23416,1.22214,1.19765,1.18762
1714,0.94797,0.89419,1.16081,1.04019
1715,1.29263,1.28141,1.21358,1.23217
1716,1.03011,0.96221,1.28485,1.11677
1717,1.08036,1.00815,1.0185,0.83256
1718,1.49763,1.46391,1.47079,1.23214
1719,1.56904,1.41779,1.53585,1.3521
1720,1.75777,1.5914,1.24175,1.17491
1721,1.11091,0.88762,1.04318,0.81955
1722,0.31484,0.17076,0.83929,0.50238
1723,1.27108,1.30645,1.07205,1.27301
1724,0.44661,0.35273,0.6863,0.60748
1725,1.35351,1.40188,1.11644,1.35623
1726,1.37441,1.35436,1.24984,1.27167
1727,1.30385,1.23179,1.36035,1.44268
1728,0.2938,0.22764,0.69264,0.43353
1729,0.15544,0.27664,0.51239,0.43698
1730,0.88682,1.06218,0.78593,1.1312
1731,0.89817,0.94952,0.97014,1.18742
1732,1.1166,1.2125,1.16904,1.30188
1733,0.37956,0.43738,0.67031,0.56475
1734,1.25345,1.41305,1.1583,1.26518
1735,0,0.08359,0.28967,0.27991
1736,0.83396,1.02281,1.0131,1.30526
1737,0.74743,0.89786,0.80304,0.8257
1738,1.06996,1.16344,1.1614,1.29481
1739,0.8119,0.90374,0.95488,0.90427
1740,0.57193,0.6606,0.67905,0.61039
1741,1.05931,1.20263,1.04772,1.11093
1742,0.99579,1.0359,0.90237,1.01162
1743,1.20944,1.2377,1.37421,1.39203
1744,0.87555,0.88339,1.02,0.92584
1745,1.19363,1.22174,1.34745,1.29384
1746,1.24957,1.19389,1.21961,1.03927
1747,1.48506,1.3995,1.52066,1.2277
1748,0.43472,0.31577,0.68082,0.36873
1749,1.42667,1.47533,1.29516,1.34249
1750,0.84019,0.78258,1.08137,0.84873
1751,0.59912,0.57345,0.97334,0.89561
1752,0.32275,0.4132,0.61665,0.58822
1753,0.98849,1.13448,0.83718,1.00469
1754,0.97774,1.0844,0.84946,0.98224
1755,0.44046,0.523,0.65976,0.74842
1756,0.84606,1.00995,0.83314,1.01393
1757,0.33496,0.45078,0.36252,0.50013
1758,0.90085,1.09412,0.94345,1.21118
1759,0.97963,1.10295,0.76272,1.00531
1760,1.27442,1.33537,1.11389,1.21749
1761,0.93967,0.94831,0.9114,0.90181
1762,1.2651,1.27372,0.86118,1.11867
1763,0.75666,0.72587,0.68809,0.75577
1764,1.3065,1.31991,0.91578,1.07061
1765,0.46296,0.4151,1.00368,0.99546
1766,1.4256,1.46956,1.09653,1.43002
1767,0.9341,0.89089,0.97784,1.04301
1768,1.46646,1.43834,1.31086,1.38646
1769,1.11951,1.05645,1.15983,1.08901
1770,0.71767,0.64903,0.88897,0.73372
1771,1.41282,1.44083,1.27444,1.26476
1772,0.88422,0.80184,0.97572,0.92661
1773,0,0.07246,0.40505,0.37234
1774,0.72978,0.89656,0.75335,0.96856
1775,0.99548,1.08868,0.94341,1.11096
1776,0.80567,0.86341,0.92761,1.02789
1777,0.53665,0.64911,0.69813,0.76017
1778,0.67672,0.83071,0.57037,0.67822
1779,0.90259,1.0484,0.92621,1.14244
1780,0.77893,0.86619,0.77383,0.9201
1781,1.03562,1.13278,1.03806,1.23208
1782,0.69205,0.75404,1.08237,1.1125
1783,1.04587,1.14191,0.91001,1.00053
1784,1.39153,1.44094,1.48939,1.36172
1785,0.67621,0.63457,0.81883,0.62683
1786,0.87705,0.94926,1.15002,1.12882
1787,1.31872,1.35223,1.3741,1.30025
1788,0.49394,0.4328,0.71356,0.56257
1789,0.8459,0.94138,1.06868,1.0665
1790,0.41793,0.49932,0.46215,0.53988
1791,1.17153,1.30014,1.07676,1.24652
1792,0.91642,0.98189,1.10327,1.11666
1793,1.10472,1.16058,1.17351,1.15796
1794,0.80568,0.85498,1.04557,0.952
1795,1.15117,1.19565,1.25628,1.22132
1796,0.92713,0.92861,1.12584,0.97267
1797,0.69277,0.71043,0.87294,0.83986
1798,1.19474,1.27052,1.03557,1.00909
1799,1.17959,1.17687,1.09109,1.07247
1800,0.92421,0.9142,0.95142,0.90841
1801,0.25968,0.29727,0.55241,0.54688
1802,1.30481,1.44815,1.05417,1.24153
1803,0.47127,0.48899,0.62509,0.67118
1804,1.03614,1.13277,0.94758,1.12916
1805,0.42232,0.52139,0.6782,0.75321
1806,0.3237,0.4632,0.57689,0.72529
1807,1.43847,1.6486,1.15226,1.43362
1808,1.19439,1.21064,1.16897,1.14326
1809,1.33941,1.34423,1.48477,1.37483
1810,0.84344,0.82159,1.10003,0.87743
1811,1.42017,1.4201,1.31544,1.20763
1812,1.18291,1.09621,1.27031,1.09615
1813,0,-0.02617,0,-0.10888
1814,1.06104,1.203,0.99778,1.19955
1815,1.25555,1.28047,1.13555,1.2635
1816,1.39652,1.35642,1.09032,1.2014
1817,1.31382,1.26881,1.32275,1.2157
1818,0.2603,0.17945,0.58911,0.42712
1819,0.78855,0.87629,0.67731,0.75731
1820,0.32023,0.37808,0.53878,0.70602
1821,1.28358,1.38361,0.90182,1.20858
1822,0.55759,0.59197,0.68022,0.82686
1823,0.48415,0.60093,0.5492,0.80194
1824,0.87948,1.06111,0.86351,1.1921
1825,1.41202,1.50959,1.1947,1.31911
1826,1.32191,1.33399,1.11649,1.10892
1827,0.70447,0.66195,0.75835,0.72566
1828,1.72394,1.76927,1.21551,1.34241
1829,0.70344,0.56509,0.68505,0.56152
1830,1.05515,1.06076,0.9077,1.02203
1831,0.83343,0.79883,0.71308,0.75548
1832,1.05047,1.02542,1.02694,1.16134
1833,1.47328,1.475,1.12138,1.1591
1834,0.91131,0.8272,0.96572,0.90121
1835,1.41865,1.39361,1.38713,1.31678
1836,1.258,1.18936,1.33701,1.21576
1837,1.62591,1.5042,1.35041,1.20834
1838,1.87326,1.70506,1.20478,0.96012
1839,1.75563,1.49159,1.3385,1.17494
1840,1.83911,1.56889,1.32124,1.15555
1841,1.64896,1.34995,1.30941,1.10582
1842,1.07638,0.77808,0.84868,0.66641
1843,1.32579,1.12633,0.96231,0.90787
1844,1.58541,1.36285,1.0279,1.04721
1845,0.45013,0.19901,0.42649,0.45287
1846,1.5518,1.53162,1.09166,1.26541
1847,0,-0.0514,0.18324,0.24629
1848,1.02229,1.08434,0.71684,1.02013
1849,1.94631,1.9945,1.10943,1.34336
1850,1.48527,1.32398,1.0352,1.18012
1851,0.29638,0.19007,0.54498,0.53342
1852,1.64396,1.71665,1.30878,1.47986
1853,1.27891,1.13794,1.22781,1.19843
1854,1.03633,0.91524,1.15146,1.04186
1855,1.19187,1.10892,1.28391,1.18328
1856,1.53346,1.42625,1.25919,1.18294
1857,0.9865,0.8505,1.17318,0.99068
1858,0.93741,0.85798,1.19321,0.94708
1859,0.50123,0.46862,0.61164,0.49596
1860,0.92113,0.9765,0.86954,1.08285
1861,0,0.06609,0.31647,0.38756
1862,1.62415,1.82256,1.25569,1.60325
1863,1.20844,1.18975,1.36976,1.38244
1864,0.18799,0.15044,0.68504,0.57268
1865,1.39899,1.58084,1.13367,1.17019
1866,1.51035,1.48085,1.5963,1.52553
1867,1.13821,1.01606,1.28406,1.09415
1868,1.32924,1.2813,1.62745,1.35352
1869,1.0597,0.96038,1.48843,1.14827
1870,0.77977,0.6855,1.21697,0.8897
1871,0.18556,0.15401,0.50815,0.22235
1872,0.31349,0.44795,0.62162,0.6827
1873,0.53105,0.71177,0.60827,0.78875
1874,0.79042,0.97249,1.0007,1.24366
1875,0.87351,1.04198,0.99565,1.0769
1876,0.66667,0.82419,0.99179,1.04217
1877,1.12202,1.26106,1.4569,1.41429
1878,0.73194,0.78382,1.28335,1.1184
1879,0.5168,0.5979,1.10881,0.93097
1880,1.06905,1.20193,1.0957,0.98351
1881,0.59014,0.63339,0.76382,0.68636
1882,0.50407,0.62043,1.01093,0.96351
1883,0.44067,0.60883,0.79929,0.82032
1884,1.16143,1.31756,1.22532,1.29798
1885,1.21521,1.2782,1.4074,1.38633
1886,0.86046,0.8685,1.09009,0.91362
1887,0.4651,0.53695,0.93106,0.78843
1888,1.00963,1.13808,1.04053,1.00958
1889,1.24769,1.28578,1.50092,1.42288
1890,1.40935,1.37228,1.58625,1.42149
1891,1.33362,1.2548,1.5098,1.20883
1892,1.40099,1.30239,1.57913,1.2771
1893,0.6719,0.53959,1.21678,0.86272
1894,0.46214,0.43056,0.83969,0.58102
1895,1.12423,1.18065,1.24293,1.19801
1896,0,0.04483,0.55098,0.40067
1897,1.58526,1.75005,1.37164,1.50052
1898,1.31789,1.31091,1.54691,1.42344
1899,0,0.02694,0.80534,0.59691
1900,0.2559,0.43611,0.73113,0.68889
1901,1.01786,1.16101,1.09228,1.16814
1902,0.29208,0.35865,0.586,0.62856
1903,0.9404,1.13783,1.15902,1.33267
1904,0.32701,0.45216,0.83195,0.74328
1905,1.47925,1.66505,1.42175,1.50461
1906,1.42822,1.45167,1.47757,1.31956
1907,1.69044,1.6163,1.87171,1.65534
1908,1.25687,1.13591,1.53419,1.10713
1909,1.6324,1.50837,1.57254,1.2197
1910,1.54555,1.39588,1.42553,1.07293
1911,1.78941,1.52434,1.49147,1.20073
1912,1.76396,1.51265,1.4205,1.12302
1913,1.76032,1.4133,1.38301,1.09582
1914,1.87033,1.52239,1.53884,1.2533
1915,1.59394,1.24923,1.41173,1.09542
1916,1.49661,1.17627,1.52318,1.20282
1917,1.61091,1.31496,1.3662,0.99098
1918,0.98952,0.69654,1.14162,0.7514
1919,1.54336,1.38619,1.4759,1.27666
1920,1.65016,1.45143,1.44325,1.20759
1921,0.81845,0.5531,0.94713,0.66124
1922,1.43208,1.32821,1.07486,1.01991
1923,0.76571,0.62375,0.82026,0.69457
1924,1.01871,0.95228,0.80994,0.85315
1925,0.67664,0.64104,0.86088,0.92855
1926,1.32198,1.33314,1.00074,1.09602
1927,1.11608,1.09078,1.00998,1.03177
1928,0.92836,0.89793,0.89298,0.84658
1929,1.19718,1.20822,1.14674,1.18511
1930,0.65787,0.61846,0.81616,0.77521
1931,0.46973,0.51498,0.72613,0.77217
1932,1.32265,1.42485,0.98364,1.12791
1933,0.90071,0.89924,0.9263,0.94135
1934,0.23872,0.28739,0.60057,0.63567
1935,1.16453,1.34638,0.97541,1.09389
